Ciudad,mes,toneladas de consumo
Caracas,2014-01,155.2
Maracaibo,2014-01,98.1
Valencia,2014-02,72.5
Barquisimeto,2014-03,61.8
Maracay,2014-04,55.3
Caracas,2014-05,160.7
Maracaibo,2014-06,102.9
Valencia,2014-07,75.1
Barquisimeto,2014-08,63.4
Maracay,2014-09,56.9
Caracas,2014-10,165.1
Maracaibo,2014-11,105.3
Valencia,2014-12,77.8
Barquisimeto,2015-01,65.0
Maracay,2015-02,58.4
Caracas,2015-03,168.9
Maracaibo,2015-04,108.0
Valencia,2015-05,80.2
Barquisimeto,2015-06,67.1
Maracay,2015-07,60.1
Caracas,2015-08,172.5
Maracaibo,2015-09,110.1
Valencia,2015-10,82.4
Barquisimeto,2015-11,69.5
Maracay,2015-12,62.5
Caracas,2016-01,175.0
Maracaibo,2016-02,112.5
Valencia,2016-03,84.0
Barquisimeto,2016-04,71.0
Maracay,2016-05,64.0
Caracas,2016-06,178.2
Maracaibo,2016-07,114.8
Valencia,2016-08,86.1
Barquisimeto,2016-09,73.1
Maracay,2016-10,66.1
Caracas,2016-11,180.5
Maracaibo,2016-12,116.5
Valencia,2017-01,88.2
Barquisimeto,2017-02,75.2
Maracay,2017-03,68.2
Caracas,2017-04,182.1
Maracaibo,2017-05,118.0
Valencia,2017-06,90.0
Barquisimeto,2017-07,77.0
Maracay,2017-08,70.0
Caracas,2017-09,183.5
Maracaibo,2017-10,119.5
Valencia,2017-11,91.5
Barquisimeto,2017-12,78.5
Maracay,2018-01,69.5
Caracas,2018-02,175.5
Maracaibo,2018-03,115.0
Valencia,2018-04,85.0
Barquisimeto,2018-05,70.5
Maracay,2018-06,63.5
Caracas,2018-07,170.0
Maracaibo,2018-08,110.0
Valencia,2018-09,80.0
Barquisimeto,2018-10,65.0
Maracay,2018-11,58.0
Caracas,2018-12,165.5
Maracaibo,2019-01,105.5
Valencia,2019-02,75.5
Barquisimeto,2019-03,60.5
Maracay,2019-04,53.5
Caracas,2019-05,160.0
Maracaibo,2019-06,100.0
Valencia,2019-07,70.0
Barquisimeto,2019-08,55.0
Maracay,2019-09,50.0
"",2019-10,15.5
Caracas,2019-11,155.0
Maracaibo,2019-12,95.0
Valencia,2020-01,65.0
Barquisimeto,2020-02,50.0
Maracay,2020-03,45.0
Caracas,2020-04,150.0
Maracaibo,2020-05,90.0
Valencia,2020-06,60.0
Barquisimeto,2020-07,48.0
Maracay,2020-08,42.0
Caracas,2020-09,155.0
Caracas,2020-09,153.0
Maracaibo,2020-10,95.0
Maracaibo,2020-10,96.5
Valencia,2020-11,62.0
Barquisimeto,2020-12,51.0
Maracay,2021-01,45.0
Caracas,2021-02,158.0
"",2021-03,12.0
Valencia,2021-04,65.0
Barquisimeto,2021-05,53.0
Maracay,2021-06,47.0
Caracas,2021-07,160.0
Maracaibo,2021-08,98.0
Valencia,2021-09,67.0
Barquisimeto,2021-10,55.0
Maracay,2021-11,49.0
Caracas,2021-12,162.0
Maracaibo,2022-01,100.0
Valencia,2022-02,69.0
Barquisimeto,2022-03,57.0
Maracay,2022-04,51.0
Caracas,2022-05,165.0
Maracaibo,2022-05,101.5
Valencia,2022-06,70.0
Barquisimeto,2022-07,58.0
Maracay,2022-08,52.0
Caracas,2022-09,167.0
Maracaibo,2022-10,103.0
Valencia,2022-11,71.0
Barquisimeto,2022-12,59.0
Maracay,2023-01,53.0
Caracas,2023-02,170.0
Maracaibo,2023-03,105.0
Valencia,2023-04,72.0
Barquisimeto,2023-05,60.0
Maracay,2023-06,54.0
Caracas,2023-07,172.0
Maracaibo,2023-08,107.0
Valencia,2023-09,73.0
Barquisimeto,2023-10,61.0
Maracay,2023-11,55.0
Caracas,2023-12,174.0
Maracaibo,2024-01,109.0
Valencia,2024-02,74.0
Barquisimeto,2024-03,62.0
Maracay,2024-04,56.0
Caracas,2024-05,176.0
Maracaibo,2024-06,111.0
Valencia,2024-07,75.0
Barquisimeto,2024-08,63.0
Maracay,2024-09,57.0
Caracas,2024-10,178.0
Maracaibo,2024-11,113.0
Valencia,2024-12,76.0
"",2024-12,11.5
