Ciudad,Mes,Toneladas_Consumo
Caracas,2014-01-01,3200
Maracaibo,2014-02-01,3100
Valencia,2014-03-01,2800
Barquisimeto,2014-04-01,2950
Maracay,2014-05-01,2500
Caracas,2014-06-01,3150
Maracaibo,2014-07-01,2900
Valencia,2014-08-01,2700
Barquisimeto,2014-09-01,2850
Maracay,2014-10-01,2450
Caracas,2014-11-01,3000
Maracaibo,2014-12-01,2880
Caracas,2015-01-01,2750
Valencia,2015-02-01,2600
Barquisimeto,2015-03-01,2550
Maracay,2015-04-01,2300
Caracas,2015-05-01,2650
Maracaibo,2015-06-01,2500
Valencia,2015-07-01,2400
Barquisimeto,2015-08-01,2350
Maracay,2015-09-01,2200
Caracas,2015-10-01,2500
Maracaibo,2015-11-01,2380
Valencia,2015-12-01,2250
Barquisimeto,2016-01-01,1900
Maracay,2016-02-01,1700
Caracas,2016-03-01,1850
Maracaibo,2016-04-01,1750
Valencia,2016-05-01,1650
Barquisimeto,2016-06-01,1500
Maracay,2016-07-01,1450
Caracas,2016-08-01,1600
Maracaibo,2016-09-01,1550
Valencia,2016-10-01,1400
Barquisimeto,2016-11-01,1350
Maracay,2016-12-01,1200
Caracas,2017-01-01,1050
Maracaibo,2017-02-01,900
Valencia,2017-03-01,850
Barquisimeto,2017-04-01,750
Maracay,2017-05-01,650
Caracas,2017-06-01,950
Maracaibo,2017-07-01,800
Valencia,2017-08-01,700
Barquisimeto,2017-09-01,600
Maracay,2017-10-01,500
Caracas,2017-11-01,750
Maracaibo,2017-12-01,650
Caracas,2018-01-01,800
Valencia,2018-02-01,700
Barquisimeto,2018-03-01,650
Maracay,2018-04-01,550
Caracas,2018-05-01,750
Maracaibo,2018-06-01,600
Valencia,2018-07-01,500
Barquisimeto,2018-08-01,450
Maracay,2018-09-01,400
,2018-10-01,350
Maracaibo,2018-11-01,400
Valencia,2018-12-01,300
Barquisimeto,2019-01-01,500
Maracay,2019-02-01,400
Caracas,2019-03-01,600
Maracaibo,2019-04-01,550
Valencia,2019-05-01,450
Barquisimeto,2019-06-01,400
Maracay,2019-07-01,350
Caracas,2019-08-01,550
Maracaibo,2019-09-01,500
Valencia,2019-10-01,400
Barquisimeto,2019-11-01,350
Maracay,2019-12-01,300
,2020-01-01,450
Maracaibo,2020-02-01,500
Valencia,2020-03-01,400
Barquisimeto,2020-04-01,350
Maracay,2020-05-01,300
Caracas,2020-06-01,550
Maracaibo,2020-07-01,500
Valencia,2020-08-01,400
Barquisimeto,2020-09-01,350
Maracay,2020-10-01,300
Caracas,2021-01-01,2500
Maracaibo,2021-02-01,2400
Valencia,2021-03-01,2300
Barquisimeto,2021-04-01,2200
Maracay,2021-05-01,2100
Caracas,2021-06-01,2600
Maracaibo,2021-07-01,2500
Valencia,2021-08-01,2400
Barquisimeto,2021-09-01,2300
Maracay,2021-10-01,2200
Caracas,2022-01-01,3000
Maracaibo,2022-02-01,2900
Valencia,2022-03-01,2800
Barquisimeto,2022-04-01,2700
Maracay,2022-05-01,2600
Caracas,2022-06-01,3100
Maracaibo,2022-07-01,3000
Valencia,2022-08-01,2900
Barquisimeto,2022-09-01,2800
Maracay,2022-10-01,2700
Caracas,2023-01-01,3500
Maracaibo,2023-02-01,3400
Valencia,2023-03-01,3300
Barquisimeto,2023-04-01,3200
Maracay,2023-05-01,3100
Caracas,2023-06-01,3600
Maracaibo,2023-07-01,3500
Valencia,2023-08-01,3400
Barquisimeto,2023-09-01,3300
Maracay,2023-10-01,3200
Caracas,2024-01-01,4000
Maracaibo,2024-02-01,3900
Valencia,2024-03-01,3800
Barquisimeto,2024-04-01,3700
Maracay,2024-05-01,3600
Caracas,2024-06-01,4100
Maracaibo,2024-07-01,4000
Valencia,2024-08-01,3900
Barquisimeto,2024-09-01,3800
Maracay,2024-10-01,3700
Caracas,2024-01-01,4000
Maracaibo,2024-02-01,3900
Valencia,2024-03-01,3800
Barquisimeto,2024-04-01,3700
Maracay,2024-05-01,3600
Caracas,2024-06-01,4100
Maracaibo,2024-07-01,4000
Valencia,2024-08-01,3900
